0.40 0.9998     -0.48769 2s15s   0 
0.41 0.9998     -0.48644 2s15s   0 
0.42 0.9998     -0.48513 2s15s   0 
0.43 0.9996     -0.48375 2s15s   0 
0.44 0.9989     -0.48230 2s15s   0 
0.45 0.9855     -0.48054 2s16s   0 
0.46 0.9915     -0.47160 2s16s   0 
0.47 0.9988     -0.46939 2s16s   0 
0.48 0.9994     -0.46729 2s16s   0 
0.49 0.9996     -0.46514 2s16s   0 
0.50 0.9996     -0.46294 2s16s   0 
0.51 0.9994     -0.46066 2s16s   0 
0.52 0.9990     -0.45831 2s16s   0 
0.53 0.9969     -0.45582 2s16s   0 
0.54 0.9319     -0.45243 2s17s   0 
0.55 0.9805     -0.43707 2s17s   0 
0.56 0.9970     -0.43346 2s17s   0 
0.57 0.9987     -0.43009 2s17s   0 
0.58 0.9991     -0.42669 2s17s   0 
0.59 0.9991     -0.42322 2s17s   0 
0.60 0.9990     -0.41968 2s17s   0 
0.61 0.9984     -0.41603 2s17s   0 
0.62 0.9965     -0.41225 2s18s   0 
0.63 0.9831     -0.40810 2s17s   0 
0.64 0.6454     -0.39361 1s29s   0 
0.65 0.9749     -0.37661 2s18s   0 
