# E[eV] PECS[a.u.] CCC[a.u.]
25.182 0.000995 0.105665
27.577 0.007962 0.092992
30.102 0.016209 0.082763
32.54 0.022607 0.075122
35.175 0.028578 0.06868
37.533 0.033697 0.06411
40.05 0.037109 0.060167
42.459 0.039242 0.05118
44.867 0.041659 0.049669
47.72 0.043791 0.048365
49.776 0.043649 0.047584
54.865 0.044218 0.045951
57.977 0.044391 0.045071
60.671 0.044218 0.044348
65.16 0.042938 0.043177
69.304 0.041659 0.042085
75.16 0.040521 0.040404
79.94 0.0391 0.038771
80.2 0.039019 0.038673
85.3 0.037536 0.036584
89.264 0.036331 0.034976
95.249 0.034408 0.033367
99.353 0.032559 0.032275
104.988 0.030995 0.030756
110.224 0.029716 0.02938
114.973 0.028294 0.02817
120.708 0.027299 0.026758
125.5 0.026019 0.025615
130.483 0.024835 0.024455
133.915 0.024171 0.023661
139.232 0.023457 0.022464
140.139 0.023318 0.022338
146.652 0.021896 0.021387
148.568 0.021461 0.021043
152.97 0.020616 0.019975
159.56 0.019695 0.018768
161.12 0.019479 0.018531
174.17 0.01763 0.016814
195.12 0.015213 0.014599
200.9 0.014635 0.014076
225.79 0.01237 0.012174
251.31 0.010379 0.010521
276.11 0.0091 0.008923
299.44 0.008081 0.007678
306.32 0.00782 0.007406
335.46 0.006967 0.0066
351.05 0.006527 0.006256
369.75 0.005972 0.005817
386.94 0.005403 0.005419
402.3 0.005037 0.005118
429.28 0.00455 0.004806
447.77 0.00455 0.004699
449.23 0.004536 0.004692
474.7 0.003981 0.004545
