0.40 1.0000     -1.98652
0.41 1.0000     -1.98520
0.42 1.0000     -1.98384
0.43 1.0000     -1.98241
0.44 1.0000     -1.98094
0.45 1.0000     -1.97941
0.46 1.0000     -1.97782
0.47 1.0000     -1.97618
0.48 1.0000     -1.97448
0.49 1.0000     -1.97273
0.50 1.0000     -1.97093
0.51 1.0000     -1.96906
0.52 1.0000     -1.96715
0.53 1.0000     -1.96517
0.54 1.0000     -1.96314
0.55 1.0000     -1.96106
0.56 1.0000     -1.95892
0.57 1.0000     -1.95672
0.58 1.0000     -1.95447
0.59 1.0000     -1.95216
0.60 1.0000     -1.94979
0.61 1.0000     -1.94737
0.62 1.0000     -1.94489
0.63 1.0000     -1.94236
0.64 1.0000     -1.93977
0.65 1.0000     -1.93712
