0.40 0.9998     -0.49261
0.41 0.9999     -0.49166
0.42 0.9998     -0.49067
0.43 0.9997     -0.48962
0.44 0.9990     -0.48851
0.45 0.9710     -0.49248
0.46 0.9968     -0.48650
0.47 0.9993     -0.48520
0.48 0.9996     -0.48393
0.49 0.9997     -0.48262
0.50 0.9997     -0.48127
0.51 0.9996     -0.47987
0.52 0.9991     -0.47841
0.53 0.9960     -0.47683
0.54 0.8891     -0.47681
0.55 0.9972     -0.47415
0.56 0.9991     -0.47247
0.57 0.9994     -0.47079
0.58 0.9995     -0.46908
0.59 0.9994     -0.46732
0.60 0.9992     -0.46551
0.61 0.9982     -0.46362
0.62 0.9871     -0.47315
0.63 0.9044     -0.46131
0.64 0.9956     -0.45829
0.65 0.9984     -0.45616
