0.40 0.9933      2.42495
0.41 0.9929      2.60333
0.42 0.9924      2.78737
0.43 0.9919      2.97709
0.44 0.9913      3.17251
0.45 0.9874      1.65895
0.46 0.9895      1.77380
0.47 0.9894      3.79300
0.48 0.9887      4.01128
0.49 0.9879      4.23528
0.50 0.9871      4.46503
0.51 0.9862      4.70052
0.52 0.9853      4.94176
0.53 0.9844      5.18875
0.54 0.5683      1.54453
0.55 0.9824      5.70001
0.56 0.9944      3.08965
0.57 0.9803      6.23430
0.58 0.9792      6.51010
0.59 0.9780      6.79166
0.60 0.9769      7.07899
0.61 0.9756      7.37210
0.62 0.9940      4.02893
0.63 0.9731      7.97562
0.64 0.9718      8.28604
0.65 0.9704      8.60224
