0.40 0.7155     27.75099
0.41 0.7115     29.51908
0.42 0.7076     31.33965
0.43 0.7040     33.21271
0.44 0.7006     35.13826
0.47 0.6911     41.22982
0.48 0.6882     43.36531
0.49 0.6855     45.55328
0.50 0.6828     47.79374
0.51 0.6803     50.08668
0.52 0.6778     52.43210
0.53 0.6755     54.83000
0.55 0.6710     59.78323
0.57 0.6669     64.94637
0.58 0.6649     67.60666
0.59 0.6630     70.31942
0.60 0.6611     73.08465
0.61 0.6594     75.90236
0.63 0.6559     81.69519
0.64 0.6543     84.67031
0.65 0.6527     87.69791
