0.40 1.0000     -1.99942
0.41 1.0000     -1.99892
0.42 1.0000     -1.99839
0.43 1.0000     -1.99783
0.44 1.0000     -1.99725
0.45 1.0000     -1.99663
0.46 1.0000     -1.99598
0.47 1.0000     -1.99530
0.48 1.0000     -1.99459
0.49 1.0000     -1.99385
0.50 1.0000     -1.99308
0.51 1.0000     -1.99227
0.52 1.0000     -1.99144
0.53 1.0000     -1.99058
0.54 1.0000     -1.98969
0.55 1.0000     -1.98876
0.56 1.0000     -1.98781
0.57 1.0000     -1.98683
0.58 1.0000     -1.98581
0.59 1.0000     -1.98476
0.60 1.0000     -1.98368
0.61 1.0000     -1.98258
0.62 1.0000     -1.98144
0.63 1.0000     -1.98026
0.64 1.0000     -1.97906
0.65 1.0000     -1.97783
