0.40 0.9988     -0.41179
0.41 0.9992     -0.40590
0.42 0.9993     -0.39985
0.43 0.9991     -0.39360
0.44 0.9986     -0.38713
0.45 0.9963     -0.40413
0.46 0.9621     -0.39769
0.47 0.8818     -0.36982
0.48 0.9924     -0.36054
0.49 0.9972     -0.35292
0.50 0.9982     -0.34527
0.51 0.9985     -0.33747
0.52 0.9985     -0.32948
0.53 0.9980     -0.32128
0.54 0.9959     -0.34879
0.55 0.9922     -0.30405
0.56 0.5814     -0.32818
0.57 0.8718     -0.29068
0.58 0.9861     -0.27922
0.59 0.9946     -0.26953
0.60 0.9967     -0.25989
0.61 0.9974     -0.25013
0.62 0.9977     -0.28914
0.63 0.9971     -0.23006
0.64 0.9960     -0.21970
0.65 0.9933     -0.20905
