0.40 0.9874     -0.72068
0.41 0.9625     -0.71909
0.42 0.6016     -0.70925
0.43 0.9479     -0.72520
0.44 0.9843     -0.72324
0.45 0.9908     -0.72243
0.46 0.9919     -0.72185
0.47 0.9900     -0.72126
0.48 0.9815     -0.72041
0.49 0.9343     -0.71832
0.50 0.6354     -0.73250
0.51 0.9565     -0.72455
0.52 0.9839     -0.72305
0.53 0.9897     -0.72232
0.54 0.9904     -0.72176
0.55 0.9877     -0.72118
0.56 0.9769     -0.72030
0.57 0.9160     -0.71805
0.58 0.6651     -0.73117
0.59 0.9524     -0.72449
0.60 0.9816     -0.72306
0.61 0.9881     -0.72234
0.62 0.9892     -0.72180
0.63 0.9867     -0.72124
0.64 0.9767     -0.72045
0.65 0.9292     -0.71865
