0.40 1.0000     -1.99589
0.41 1.0000     -1.99516
0.42 1.0000     -1.99440
0.43 1.0000     -1.99359
0.44 1.0000     -1.99275
0.45 1.0000     -1.99188
0.46 1.0000     -1.99097
0.47 1.0000     -1.99002
0.48 1.0000     -1.98903
0.49 1.0000     -1.98800
0.50 1.0000     -1.98694
0.51 1.0000     -1.98584
0.52 1.0000     -1.98470
0.53 1.0000     -1.98353
0.54 1.0000     -1.98232
0.55 1.0000     -1.98107
0.56 1.0000     -1.97978
0.57 1.0000     -1.97845
0.58 1.0000     -1.97709
0.59 1.0000     -1.97568
0.60 1.0000     -1.97424
0.61 1.0000     -1.97276
0.62 1.0000     -1.97125
0.63 1.0000     -1.96969
0.64 1.0000     -1.96810
0.65 1.0000     -1.96647
