0.40 0.9994     -0.44446
0.41 0.9995     -0.44056
0.42 0.9995     -0.43654
0.43 0.9993     -0.43237
0.44 0.9987     -0.42805
0.45 0.9947     -0.43937
0.46 0.5192     -0.42907
0.47 0.9914     -0.41520
0.48 0.9978     -0.41013
0.49 0.9988     -0.40512
0.50 0.9991     -0.40002
0.51 0.9990     -0.39479
0.52 0.9988     -0.38941
0.53 0.9979     -0.38387
0.54 0.9920     -0.40218
0.55 0.9560     -0.37139
0.56 0.9572     -0.36843
0.57 0.9937     -0.36153
0.58 0.9972     -0.35521
0.59 0.9981     -0.34886
0.60 0.9984     -0.34240
0.61 0.9983     -0.33582
0.62 0.9975     -0.36199
0.63 0.9961     -0.32215
0.64 0.9903     -0.31492
0.65 0.9381     -0.30660
