0.40 1.0000     -1.92619
0.41 1.0000     -1.92125
0.42 1.0000     -1.91615
0.43 1.0000     -1.91089
0.44 1.0000     -1.90546
0.45 1.0000     -1.89987
0.46 1.0000     -1.89411
0.47 1.0000     -1.88819
0.48 1.0000     -1.88210
0.49 1.0000     -1.87585
0.50 1.0000     -1.86944
0.51 1.0000     -1.86286
0.52 1.0000     -1.85611
0.53 1.0000     -1.84920
0.54 1.0000     -1.84212
0.55 0.9999     -1.83488
0.56 0.9999     -1.82747
0.57 0.9999     -1.81990
0.58 0.9999     -1.81216
0.59 0.9999     -1.80425
0.60 0.9999     -1.79618
0.61 0.9999     -1.78794
0.62 0.9999     -1.77953
0.63 0.9999     -1.77095
0.64 0.9999     -1.76221
0.65 0.9999     -1.75331
