0.40 0.9983     -0.38939
0.41 0.9989     -0.38214
0.42 0.9991     -0.37469
0.43 0.9989     -0.36701
0.44 0.9985     -0.35908
0.45 0.9968     -0.38039
0.46 0.9839     -0.37308
0.47 0.8456     -0.33067
0.48 0.9768     -0.32699
0.49 0.9945     -0.31727
0.50 0.9972     -0.30782
0.51 0.9980     -0.29824
0.52 0.9981     -0.28846
0.53 0.9979     -0.27844
0.54 0.9967     -0.31284
0.55 0.9950     -0.25757
0.56 0.9574     -0.29426
0.57 0.9183     -0.23369
0.58 0.8979     -0.22917
0.59 0.9840     -0.21565
0.60 0.9933     -0.20360
0.61 0.9958     -0.19159
0.62 0.9975     -0.24019
0.63 0.9969     -0.16706
0.64 0.9965     -0.15446
0.65 0.9956     -0.14159
