0.40 1.0000     -1.98152 1s16s   1 
0.41 1.0000     -1.97991 1s16s   1 
0.42 1.0000     -1.97822 1s16s   1 
0.43 1.0000     -1.97648 1s16s   1 
0.44 1.0000     -1.97467 1s16s   1 
0.45 1.0000     -1.97280 1s16s   1 
0.46 1.0000     -1.97086 1s16s   1 
0.47 1.0000     -1.96886 1s16s   1 
0.48 1.0000     -1.96679 1s16s   1 
0.49 1.0000     -1.96466 1s16s   1 
0.50 1.0000     -1.96246 1s16s   1 
0.51 1.0000     -1.96020 1s16s   1 
0.52 1.0000     -1.95788 1s16s   1 
0.53 1.0000     -1.95548 1s16s   1 
0.54 1.0000     -1.95303 1s16s   1 
0.55 1.0000     -1.95051 1s16s   1 
0.56 1.0000     -1.94792 1s16s   1 
0.57 1.0000     -1.94527 1s16s   1 
0.58 1.0000     -1.94255 1s16s   1 
0.59 1.0000     -1.93977 1s16s   1 
0.60 1.0000     -1.93692 1s16s   1 
0.61 1.0000     -1.93400 1s16s   1 
0.62 1.0000     -1.93102 1s16s   1 
0.63 1.0000     -1.92797 1s16s   1 
0.64 1.0000     -1.92486 1s16s   1 
0.65 1.0000     -1.92168 1s16s   1 
