0.40 1.0000     -0.47621 2s17s   1 
0.41 1.0000     -0.47426 2s17s   1 
0.42 1.0000     -0.47224 2s17s   1 
0.43 1.0000     -0.47015 2s17s   1 
0.44 1.0000     -0.46798 2s17s   1 
0.45 1.0000     -0.46573 2s17s   1 
0.46 1.0000     -0.46341 2s17s   1 
0.47 0.9998     -0.44918 2s18s   1 
0.48 1.0000     -0.44611 2s18s   1 
0.49 1.0000     -0.44295 2s18s   1 
0.50 1.0000     -0.43970 2s18s   1 
0.51 1.0000     -0.43636 2s18s   1 
0.52 1.0000     -0.43293 2s18s   1 
0.53 1.0000     -0.42941 2s18s   1 
0.54 1.0000     -0.42580 2s18s   1 
0.55 0.9999     -0.42209 2s18s   1 
0.56 0.9899     -0.40128 1s30s   1 
0.57 0.9999     -0.39226 2s19s   1 
0.58 1.0000     -0.38738 2s19s   1 
0.59 1.0000     -0.38239 2s19s   1 
0.60 1.0000     -0.37728 2s19s   1 
0.61 1.0000     -0.37207 2s19s   1 
0.62 1.0000     -0.36675 2s19s   1 
0.63 1.0000     -0.36131 2s19s   1 
0.64 1.0000     -0.35576 2s19s   1 
0.65 0.9999     -0.35009 2s19s   1 
