2.5600E+01 0.000E+00
2.6600E+01 0.000E+00
2.7600E+01 0.000E+00
2.8600E+01 0.000E+00
2.9600E+01 0.000E+00
3.0600E+01 0.000E+00
3.1600E+01 0.000E+00
3.2600E+01 0.000E+00
3.3600E+01 0.000E+00
3.4600E+01 0.000E+00
4.0000E+01 0.000E+00
4.5000E+01 0.000E+00
5.0000E+01 0.000E+00
5.5000E+01 0.000E+00
6.0000E+01 0.000E+00
6.5000E+01 9.700E-07
7.0000E+01 5.642E-05
7.5000E+01 7.611E-05
8.0000E+01 1.318E-04
8.5000E+01 2.409E-04
1.0000E+02 4.907E-04
1.1000E+02 6.541E-04
1.2000E+02 1.029E-03
1.3000E+02 1.174E-03
1.4000E+02 1.473E-03
1.5000E+02 1.459E-03
1.6000E+02 1.906E-03
1.7000E+02 1.606E-03
1.8000E+02 1.650E-03
1.9000E+02 1.704E-03
2.1000E+02 1.411E-03
2.3000E+02 1.284E-03
2.5000E+02 1.143E-03
2.7000E+02 9.509E-04
2.9000E+02 8.776E-04
3.1000E+02 7.949E-04
3.3000E+02 7.161E-04
3.5000E+02 6.578E-04
3.7000E+02 6.100E-04
3.9000E+02 5.625E-04
4.3000E+02 4.744E-04
4.7000E+02 4.132E-04
5.1000E+02 3.684E-04
