0.40 2.5600E+01   NaN
0.40 2.6600E+01   NaN
0.40 2.7600E+01   NaN
0.40 2.8600E+01   NaN
0.40 2.9600E+01   NaN
0.40 3.0600E+01   NaN
0.40 3.1600E+01   NaN
0.40 3.2600E+01   NaN
0.40 3.3600E+01   NaN
0.40 3.4600E+01   NaN
0.40 4.0000E+01   NaN
0.40 4.5000E+01   NaN
0.40 5.0000E+01   NaN
0.40 5.5000E+01   NaN
0.40 6.0000E+01   NaN
0.40 6.5000E+01   NaN
0.40 7.0000E+01   NaN
0.40 7.5000E+01 5.38630E-06
0.40 8.0000E+01 1.53449E-05
0.40 8.5000E+01 4.32772E-05
0.40 1.0000E+02 1.01080E-04
0.40 1.1000E+02 1.95821E-04
0.40 1.2000E+02 1.84937E-04
0.40 1.3000E+02 2.34709E-04
0.40 1.4000E+02 2.52464E-04
0.40 1.5000E+02 2.58669E-04
0.40 1.6000E+02 2.59775E-04
0.40 1.7000E+02 3.13719E-04
0.40 1.8000E+02 3.47451E-04
0.40 1.9000E+02 3.66040E-04
0.40 2.1000E+02 2.07129E-04
0.40 2.3000E+02 3.00374E-04
0.40 2.5000E+02 2.81394E-04
0.40 2.7000E+02 2.55205E-04
0.40 2.9000E+02 2.25246E-04
0.40 3.1000E+02 1.99002E-04
0.40 3.3000E+02 1.75739E-04
0.40 3.5000E+02 1.58089E-04
0.40 3.7000E+02 1.44419E-04
0.40 3.9000E+02 1.33376E-04
0.40 4.3000E+02 1.16022E-04
0.40 4.7000E+02 1.02054E-04
0.40 5.1000E+02 8.99686E-05 


0.41 2.5600E+01   NaN
0.41 2.6600E+01   NaN
0.41 2.7600E+01   NaN
0.41 2.8600E+01   NaN
0.41 2.9600E+01   NaN
0.41 3.0600E+01   NaN
0.41 3.1600E+01   NaN
0.41 3.2600E+01   NaN
0.41 3.3600E+01   NaN
0.41 3.4600E+01   NaN
0.41 4.0000E+01   NaN
0.41 4.5000E+01   NaN
0.41 5.0000E+01   NaN
0.41 5.5000E+01   NaN
0.41 6.0000E+01   NaN
0.41 6.5000E+01   NaN
0.41 7.0000E+01   NaN
0.41 7.5000E+01 1.60762E-05
0.41 8.0000E+01 3.71275E-06
0.41 8.5000E+01 1.63409E-05
0.41 1.0000E+02 6.17180E-05
0.41 1.1000E+02 6.28871E-05
0.41 1.2000E+02 5.79965E-05
0.41 1.3000E+02 5.02958E-05
0.41 1.4000E+02 3.80967E-05
0.41 1.5000E+02 4.98201E-05
0.41 1.6000E+02 5.46799E-05
0.41 1.7000E+02 5.42544E-05
