0.40 0.9997     -0.47485 2s17s   0 
0.41 0.9997     -0.47280 2s17s   0 
0.42 0.9997     -0.47068 2s17s   0 
0.43 0.9995     -0.46846 2s17s   0 
0.44 0.9988     -0.46615 2s17s   0 
0.45 0.9917     -0.46357 2s18s   0 
0.46 0.9553     -0.45093 2s18s   0 
0.47 0.9973     -0.44708 2s18s   0 
0.48 0.9990     -0.44379 2s18s   0 
0.49 0.9993     -0.44048 2s18s   0 
0.50 0.9994     -0.43708 2s18s   0 
0.51 0.9993     -0.43359 2s18s   0 
0.52 0.9989     -0.42998 2s18s   0 
0.53 0.9975     -0.42624 2s18s   0 
0.54 0.9869     -0.42214 2s19s   0 
0.55 0.5156     -0.40539 1s30s   0 
0.56 0.9883     -0.39385 2s19s   0 
0.57 0.9968     -0.38861 2s19s   0 
0.58 0.9982     -0.38348 2s19s   0 
0.59 0.9986     -0.37828 2s19s   0 
0.60 0.9987     -0.37297 2s19s   0 
0.61 0.9984     -0.36755 2s19s   0 
0.62 0.9975     -0.36199 2s20s   0 
0.63 0.9945     -0.35622 2s19s   0 
0.64 0.9759     -0.34993 2s19s   0 
0.65 0.6377     -0.33410 1s29s   0 
